ND      RADIUS  L1      L2
0.125   0.25    0.125   0.125
0.25	0.5     0.25	0.25	
0.375   0.75    0.375   0.375
0.5     1       0.5     0.5  
0.75	1.5     0.75	0.75	
1       2       1       1    
1.25	2.5     1.25	1.25	
1.5     3       1.5     1.5  
2       4       2       2    
2.5     5       2.5     2.5  
3       6       3       3    
3.5     7       3.5     3.5  
4       8       4       4    
5       10      5       5    
6       12      6       6    
8       16      8       8    
10      20      10      10   
12      24      12      12   
14      28      14      14   
16      32      16      16   
18      36      18      18   
20      40      20      20   
22      44      22      22   
24      48      24      24   
26      52      26      26   
28      56      28      28   
30      60      30      30   
32      64      32      32   
34      68      34      34   
36      72      36      36   
38      76      38      38   
40      80      40      40   
42      84      42      42   
44      88      44      44   
46      92      46      46   
48      96      48      48   
50      100     50      50   
54      108     54      54   
60      120     60      60   
66      132     66      66   
72      144     72      72   
